id,movie_id,image,original_title,title,release_year,rating,
48,820067,/63SDXxNKOA4ZfXvRCkF9B1y14Us.jpg,映? 五等分の花嫁,극장판 5등분의 신부,2022-05-20,9.2,
49,1024530,/ulYkLO62DYxegMHYSnA9bF3cqLs.jpg,Grimcutty,그림커티,2022-10-10,5.6,
50,756999,/eJPIkRiYGnvQaPCZtTRTDmhMJVK.jpg,The Black Phone,블랙폰,2022-06-22,7.9,
51,1032950,/3retN9fNG3fXJlUjasDsyfZqT7T.jpg,Ostatnia Wieczerza,헬홀,2022-10-26,6.1,
52,969160,/gLnrBoSENk32SKjHDiZv7E4zwzK.jpg,Deinfluencer,Deinfluencer,2022-10-01,6,
53,585511,/nN2iHej7TyISjXC6Jl577aqpDHJ.jpg,Luck,럭,2022-08-05,7.9,
54,629176,/vwq5iboxYoaSpOmEQrhq9tHicq7.jpg,Samaritan,사마리탄,2022-08-25,6.9,
55,810693,/gHcga1wgDD4MAeApoOM7yDn9BOq.jpg,劇場版 呪術廻? 0,극장판 주술회전 0,2021-12-24,8.3,
56,1033107,/rITxQBtnMpneZf8QzH1dqONQocx.jpg,Wild Is the Wind,와일드 이즈 더 윈드,2022-10-28,5.8,
57,366672,/qXiIWXlDld14EBgcwlzzvi89y0g.jpg,Paws of Fury: The Legend of Hank,블레이드 퍼피 워리어,2022-07-14,6.7,
58,851644,/xM9Jt2sA6QcvLuHKM0RI3BMtFc5.jpg,20세기 소녀,20세기 소녀,2022-10-06,8.9,
59,429473,/5F6NM04jwwng3bUE2Q0lGNmFjmw.jpg,Lou,루,2022-09-23,6.7,
60,1005776,/g4Tg6R1MUTw0hef6Q7ohZHWk3O8.jpg,V/H/S/99,V/H/S/99,2022-09-15,6.3,
61,505642,/nPpS4H39AhDD8g5VPt6tQcFJNtL.jpg,Black Panther: Wakanda Forever,블랙 팬서: 와칸다 포에버,2022-11-09,8.5,
62,883083,/kJ1bSR2T16yzgRMSySpbAJzF3rM.jpg,You Won't Be Alone,혼자가 아닌,2022-04-01,6.6,
63,993145,/cj6YmTAU7Jvn3w6d2NfjQzpX7Pw.jpg,Bullet Proof,불릿 프루프,2022-08-19,5.6,
64,1034470,/a2a1Y6a6UriLJ0U7cGjphPOWQPK.jpg,Barbie Epic Road Trip,바비: 모험을 떠나요,2022-10-25,5,
65,335795,/tn3GWm0Erehkpur8PUuYWxGpul5.jpg,Monster High: The Movie,몬스터 하이: 더 무비,2022-10-06,7.1,
66,886396,/nBaVsNvUxIuvhPw3xTaAJIw8me4.jpg,Batman and Superman: Battle of the Super Sons,Batman and Superman: Battle of the Super Sons,2022-10-17,8,
67,568124,/b8gz7UKMwMz39mz6EH5Jjicjdth.jpg,Encanto,엔칸토: 마법의 세계,2021-10-13,7.7,
68,718789,/oMa5NjFxK8Csp6uVQ0tRuF1pWM5.jpg,Lightyear,버즈 라이트이어,2022-06-15,7.2,
69,744276,/fZqvzsekRXxRrtEKIWoAWP5eqe7.jpg,After Ever Happy,애프터: 에버 해피,2022-08-24,7,
70,508947,/hsOhOcX7qDy7bPwbrt1OoITngrf.jpg,Turning Red,메이의 새빨간 비밀,2022-03-01,7.5,
71,635302,/mxdVTei65ymzhJlalIEtR1qSgV2.jpg,劇場版「鬼滅の刃」無限列車編,극장판 귀멸의 칼날: 무한열차편,2020-10-16,8.3,
72,941959,/1iGVhDwTaLMPYVK2DeOLa1uAKjN.jpg,Un crimen argentino,Un crimen argentino,2022-08-25,6.2,
73,579974,/d0W61w08KPAxO63uuM0Xspxb27l.jpg,?????? ??? ??????,RRR: 라이즈 로어 리볼트,2022-03-24,7.8,
74,414906,/zGgrDMJCnE0s4EDX0L4X1wXFgZv.jpg,The Batman,더 배트맨,2022-03-01,7.7,
75,1015724,/wZccw4Hj9ZF1yimnfPsX9rl3HvB.jpg,Trick or Treat Scooby-Doo!,Trick or Treat Scooby-Doo!,2022-10-04,7.3,
76,800939,/sjfzr7bNLMw4u2HaTdRUxhDspuw.jpg,Ticket to Paradise,티켓 투 파라다이스,2022-09-08,6.9,
77,585083,/6zt5l4DYV1kLPL5Vqz1kLq3THXD.jpg,Hotel Transylvania: Transformania,몬스터 호텔 4: 뒤바뀐 세계,2022-02-25,7.1,
78,924482,/qXU3lr4YmyT8y6kaX1CcpRiqia2.jpg,The Ledge,더 렛지,2022-02-18,6.3,
79,1015602,/kxB9E6fo0ycHzd13oOTHmGa5Njd.jpg,Welcome to the Club,심슨 가족: 웰컴 투 더 클럽,2022-09-08,6.7,
80,1029446,/4a0X2GKDmhhp1U2FUKtKY6uNQHL.jpg,Selina's Gold,Selina's Gold,2022-10-24,5,
81,962232,/jv8PbopI3r3p0HrQJbLYcOzFHle.jpg,Depois do Universo,비욘드 유니버스,2022-10-27,7.8,
82,961427,/akWDID6zfsWHJhGCAAcbwbytU55.jpg,Spirit Halloween: The Movie,Spirit Halloween: The Movie,2022-09-30,6.8,
83,801071,/3Ib8vlWTrAKRrTWUrTrZPOMW4jp.jpg,The Jack in the Box: Awakening,The Jack in the Box: Awakening,2022-02-24,6.4,
84,864959,/t6P9l6tcVnWLS1ADUAfkUCGQhm0.jpg,The Curse of Bridge Hollow,브리지 홀로우의 저주,2022-10-14,6.9,
85,511817,/5dsX6UAHqkQz1kiV8bs8SvjyVNa.jpg,Wendell & Wild,웬델 & 와일드,2022-10-21,6.7,
86,752623,/8kZapNBZYGJu7AUbJVBDMmQgO1D.jpg,The Lost City,로스트 시티,2022-03-24,6.7,
87,960700,/epyZbxy59fLsYv7x2nsnuNT6qvt.jpg,鋼の?金術師 完結編 復讐者スカ?,강철의 연금술사 완결편: 복수자 스카,2022-05-20,7,
88,338953,/uvQbXjMgC5weQepx4jLJJ60H3N0.jpg,Fantastic Beasts: The Secrets of Dumbledore,신비한 동물들과 덤블도어의 비밀,2022-04-06,6.8,
89,541134,/cC1wNkQpvdkQPqmY5Io9HzglrlB.jpg,The Good Nurse,"그 남자, 좋은 간호사",2022-10-19,7.1,
90,921360,/b9ykj4v8ykjRoGB7SpI1OuxblNU.jpg,Wire Room,와이어 룸,2022-09-02,6.9,
91,768744,/rqyVJKWCZCWwYK5eDVYyo0jauN6.jpg,僕のヒ?ロ?アカデミア THE MOVIE ワ?ルド ヒ?ロ?ズ ミッション,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2021-08-06,7.6,
92,773867,/zukuy8slSFF1OpokjGtGwuMcAQV.jpg,서울대작전,서울대작전,2022-08-26,6.9,
93,629542,/k5TL1oBUqSr6dL9NlHGRr3vJcXd.jpg,The Bad Guys,배드 가이즈,2022-03-17,7.7,
94,580489,/1Lh9LER4xRQ3INFFi2dfS2hpRwv.jpg,Venom: Let There Be Carnage,베놈 2: 렛 데어 비 카니지,2021-09-30,6.9,
95,1007401,/xvjCiv1xNlK1kNnoe1nul899vIp.jpg,Mortal Kombat Legends: Snow Blind,Mortal Kombat Legends: Snow Blind,2022-10-09,8.1,
96,931925,/cDZRy7uNFZFlTWPgoA9q1TBDdHI.jpg,El gerente,El gerente,2022-10-20,8.2,
97,834734,/cXS43EsMQbFBiOljdzJJPhndUg8.jpg,Sicosexual,Sicosexual,2022-05-12,2,
98,961484,/nnfm6vscrAX8LDCC73T1OwdcalZ.jpg,Last Seen Alive,분노의 추격자,2022-05-19,6.5,
99,299536,/kmP6viwzcEkZeoi1LaVcQemcvZh.jpg,Avengers: Infinity War,어벤져스: 인피니티 워,2018-04-25,8.3,
100,975120,/k2v9xSPtiyxCNxaRGtj7COwdgG3.jpg,Padre no hay mas que Uno 3,Padre no hay mas que Uno 3,2022-07-15,7.7,
101,701952,/5OMeVCF5jZpCrrvJNEMMP0vOoIH.jpg,여친 엄마2,여친 엄마2,2018-08-30,2,
102,830788,/jcTq6gIskCsHlKDvCKKouEfiU66.jpg,The Invitation,디 인비테이션,2022-08-24,6.4,
103,43641,/3MgwChvi42N1RnhQE9A4pQVHyUY.jpg,Superman/Shazam!: The Return of Black Adam,슈퍼맨/샤잠!: 돌아온 블랙 아담,2010-11-16,7.2,
104,639933,/Aedz3vL7rC5fO0t7vQK7KUMwiW5.jpg,The Northman,노스맨,2022-04-07,7.2,
105,438695,/xe8dVB2QiCxLWFV77V4dpZcOvYB.jpg,Sing 2,씽2게더,2021-12-01,8,
106,782054,/1SJZmO5NbBEOLHYeou1OyfgcG9k.jpg,映?ドラえもん のび太の宇宙小?? 2021,도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,2022-03-04,5.6,
107,459151,/zGaeo3fNXCcnttUQMgZr1FW0t4V.jpg,The Boss Baby: Family Business,보스 베이비 2,2021-07-01,7.5,
108,919355,/zkGFADykBtfPfTv7YJooxTH52ph.jpg,Dragon Knight,드래곤 나이트,2022-03-21,7.1,
109,955644,/a3ZpDsvNCQUOD7ApAs9y3mFwVU4.jpg,Mia and Me: The Hero of Centopia,Mia and Me: The Hero of Centopia,2022-05-26,7.1,
110,848123,/2iKZNSMGMMJMJCPBP2zanLUsdru.jpg,Black Site,블랙 사이트,2022-05-05,7,
111,904039,/vwYx8HHQFlKFVK3Hs8U0Au6nKGa.jpg,Madagascar: A Little Wild Holiday Goose Chase,Madagascar: A Little Wild Holiday Goose Chase,2021-11-26,5.8,
112,526896,/8uiV88A5eB7PjMTtY6lQBUZ0Cpl.jpg,Morbius,모비우스,2022-03-30,6.3,
113,960875,/z0iZuYNM0hUyHZeldIdXf4aSrPy.jpg,Jaula,Jaula,2022-09-09,6.2,
114,818397,/fWkFnlCQLtfIBGnhMKVw2dttEDk.jpg,Memory,메모리,2022-04-28,7.1,
115,831410,/ciRq9QUBpFWNsFKs2opG5tP157.jpg,Bring It On: Cheer or Die,Bring It On: Cheer or Die,2022-09-27,6.5,
116,836225,/9X9wKbF0ED1AQpgIkvq0MG4Y4wi.jpg,The Exorcism of God,엑소시즘 오브 갓,2022-03-11,7.3,
117,724495,/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,The Woman King,더 우먼 킹,2022-09-15,7.5,
118,1025169,/seeEc3xNttsx308AB0iFtqKVyjG.jpg,13 ??????: ??????????????????,더 트랩트 13: 태국 동굴 조난 사건,2022-10-05,6.3,
119,897338,/n7gVho5g4IFqnbBJL8ATqG53UH4.jpg,The Bad Seed Returns,The Bad Seed Returns,2022-09-05,7.6,
120,597922,/dXrBUpSXsqn09Trf8KKsQMIwDfH.jpg,The Greatest Beer Run Ever,지상 최대 맥주배달 작전,2022-09-30,7.9,
121,626735,/6Kcy1Pt0RSlD6yvTx0oGG1wpIsH.jpg,Dog,도그,2022-02-17,7.4,
122,474350,/kkkS7NYPY4QZcZY6vfkAx0vjJRa.jpg,It Chapter Two,그것: 두 번째 이야기,2019-09-04,6.9,
123,999205,/lDzoW7XAi10TkGXIswqw3nMyOqd.jpg,Stowaway,더 요트,2022-08-31,6.9,
124,968857,/1uy2PNFwtkqH3mhGd6irk5aeIrF.jpg,Looks Can Kill,Looks Can Kill,2022-02-01,5.3,
125,3933,/AinoobwUR3mDspc1O9exQHgUAyv.jpg,Corpse Bride,유령 신부,2005-09-12,7.5,
126,335787,/2R8smeSDkPx6TKIRveKPXi0JVI6.jpg,Uncharted,언차티드,2022-02-10,7.1,
127,1006851,/khcVwO0gwguC1CndbxtH1bzk4aj.jpg,Office Invasion,오피스 인베이전,2022-08-10,5.8,
128,829560,/4N9BqdesW3YD7ZM2dlTOYefkCEM.jpg,The Next 365 Days,또 다른 365일,2022-08-19,6.6,
129,843241,/c6LuZgSe1FFbnSPrZWyvh9f4ZEs.jpg,劇場版 七つの大罪 光に呪われし者たち,일곱 개의 대죄: 빛에 저주받은 자들,2021-07-02,7.8,
